2023-11-08 00:11:09,660 INFO    MainThread:13896 [wandb_setup.py:_flush():76] Current SDK version is 0.15.11
2023-11-08 00:11:09,661 INFO    MainThread:13896 [wandb_setup.py:_flush():76] Configure stats pid to 13896
2023-11-08 00:11:09,661 INFO    MainThread:13896 [wandb_setup.py:_flush():76] Loading settings from C:\Users\86183\.config\wandb\settings
2023-11-08 00:11:09,661 INFO    MainThread:13896 [wandb_setup.py:_flush():76] Loading settings from C:\Users\86183\Desktop\pytorch\ISSBA-main\wandb\settings
2023-11-08 00:11:09,661 INFO    MainThread:13896 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***', 'mode': 'offline'}
2023-11-08 00:11:09,661 INFO    MainThread:13896 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-11-08 00:11:09,661 INFO    MainThread:13896 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': '1.py', 'program_abspath': 'C:\\Users\\86183\\Desktop\\pytorch\\ISSBA-main\\1.py', 'program': 'C:\\Users\\86183\\Desktop\\pytorch\\ISSBA-main\\1.py'}
2023-11-08 00:11:09,662 INFO    MainThread:13896 [wandb_init.py:_log_setup():528] Logging user logs to C:\Users\86183\Desktop\pytorch\ISSBA-main\wandb\offline-run-20231108_001109-tm1o1k1n\logs\debug.log
2023-11-08 00:11:09,662 INFO    MainThread:13896 [wandb_init.py:_log_setup():529] Logging internal logs to C:\Users\86183\Desktop\pytorch\ISSBA-main\wandb\offline-run-20231108_001109-tm1o1k1n\logs\debug-internal.log
2023-11-08 00:11:09,662 INFO    MainThread:13896 [wandb_init.py:init():568] calling init triggers
2023-11-08 00:11:09,662 INFO    MainThread:13896 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': 'CIFAR-100', 'epochs': 10}
2023-11-08 00:11:09,662 INFO    MainThread:13896 [wandb_init.py:init():618] starting backend
2023-11-08 00:11:09,662 INFO    MainThread:13896 [wandb_init.py:init():622] setting up manager
2023-11-08 00:11:09,666 INFO    MainThread:13896 [backend.py:_multiprocessing_setup():107] multiprocessing start_methods=spawn, using: spawn
2023-11-08 00:11:09,667 INFO    MainThread:13896 [wandb_init.py:init():628] backend started and connected
2023-11-08 00:11:09,674 INFO    MainThread:13896 [wandb_init.py:init():720] updated telemetry
2023-11-08 00:11:09,677 INFO    MainThread:13896 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-11-08 00:11:09,682 INFO    MainThread:13896 [wandb_init.py:init():804] starting run threads in backend
2023-11-08 00:11:09,853 INFO    MainThread:13896 [wandb_run.py:_console_start():2199] atexit reg
2023-11-08 00:11:09,853 INFO    MainThread:13896 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-11-08 00:11:09,853 INFO    MainThread:13896 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-11-08 00:11:09,853 INFO    MainThread:13896 [wandb_run.py:_redirect():2144] Redirects installed.
2023-11-08 00:11:09,854 INFO    MainThread:13896 [wandb_init.py:init():845] run started, returning control to user process
2023-11-08 00:11:09,855 INFO    MainThread:13896 [wandb_run.py:_finish():1934] finishing run ISSBA/tm1o1k1n
2023-11-08 00:11:09,855 INFO    MainThread:13896 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 0
2023-11-08 00:11:09,855 INFO    MainThread:13896 [wandb_run.py:_restore():2151] restore
2023-11-08 00:11:09,855 INFO    MainThread:13896 [wandb_run.py:_restore():2157] restore done
2023-11-08 00:11:10,931 INFO    MainThread:13896 [wandb_run.py:_footer_history_summary_info():3554] rendering history
2023-11-08 00:11:10,932 INFO    MainThread:13896 [wandb_run.py:_footer_history_summary_info():3586] rendering summary
